,-0,-1,-2,-3
-0x01,予約,予約,予約,予約
-0x05,act_tsk,iact_tsk,can_act,ext_tsk
-0x09,ter_tsk,chg_pri,get_pri,get_inf
-0x0d,slp_tsk,tslp_tsk,wup_tsk,iwup_tsk
-0x11,can_wup,rel_wai,irel_wai,予約
-0x15,dis_wai,idis_wai,ena_wai,iena_wai
-0x19,sus_tsk,rsm_tsk,dly_tsk,予約
-0x1d,ras_tex,iras_tex,dis_tex,ena_tex
-0x21,sns_tex,ref_tex,予約,予約
-0x25,sig_sem,isig_sem,wai_sem,pol_sem
-0x29,twai_sem,予約,予約,予約
-0x2d,set_flg,iset_flg,clr_flg,wai_flg
-0x31,pol_flg,twai_flg,予約,予約
-0x35,snd_dtq,psnd_dtq,ipsnd_dtq,tsnd_dtq
-0x39,fsnd_dtq,ifsnd_dtq,rcv_dtq,prcv_dtq
-0x3d,trcv_dtq,予約,予約,予約
-0x41,snd_pdq,psnd_pdq,ipsnd_pdq,tsnd_pdq
-0x45,rcv_pdq,prcv_pdq,trcv_pdq,予約
-0x49,snd_mbx,rcv_mbx,prcv_mbx,trcv_mbx
-0x4d,loc_mtx,ploc_mtx,tloc_mtx,unl_mtx
-0x51,snd_mbf,psnd_mbf,tsnd_mbf,rcv_mbf
-0x55,prcv_mbf,trcv_mbf,予約,予約
-0x59,get_mpf,pget_mpf,tget_mpf,rel_mpf
-0x5d,get_tim,get_utm,予約,ref_ovr
-0x61,sta_cyc,stp_cyc,予約,予約
-0x65,sta_alm,ista_alm,stp_alm,istp_alm
-0x69,sta_ovr,ista_ovr,stp_ovr,istp_ovr
-0x6d,sac_sys,ref_sys,rot_rdq,irot_rdq
-0x71,get_did,予約,get_tid,iget_tid
-0x75,loc_cpu,iloc_cpu,unl_cpu,iunl_cpu
-0x79,dis_dsp,ena_dsp,sns_ctx,sns_loc
-0x7d,sns_dsp,sns_dpn,sns_ker,ext_ker
-0x81,att_mem,det_mem,sac_mem,prb_mem
-0x85,ref_mem,予約,att_pma,予約
-0x89,cfg_int,dis_int,ena_int,ref_int
-0x8d,chg_ipm,get_ipm,予約,予約
-0x91,xsns_dpn,xsns_xpn,予約,予約
-0x95,ref_cfg,ref_ver,予約,予約
-0x99,予約,予約,予約,予約
-0x9d,予約,予約,予約,予約
-0xa1,予約,ini_sem,ini_flg,ini_dtq
-0xa5,ini_pdq,ini_mbx,ini_mtx,ini_mbf
-0xa9,ini_mpf,予約,予約,予約
-0xad,予約,予約,予約,予約
-0xb1,ref_tsk,ref_sem,ref_flg,ref_dtq
-0xb5,ref_pdq,ref_mbx,ref_mtx,ref_mbf
-0xb9,ref_mpf,ref_cyc,ref_alm,ref_isr
-0xbd,ref_spn,予約,予約,予約
-0xc1,acre_tsk,acre_sem,acre_flg,acre_dtq
-0xc5,acre_pdq,acre_mbx,acre_mtx,acre_mbf
-0xc9,acre_mpf,acre_cyc,acre_alm,acre_isr
-0xcd,acre_spn,予約,予約,予約
-0xd1,del_tsk,del_sem,del_flg,del_dtq
-0xd5,del_pdq,del_mbx,del_mtx,del_mbf
-0xd9,del_mpf,del_cyc,del_alm,del_isr
-0xdd,del_spn,予約,予約,予約
-0xe1,sac_tsk,sac_sem,sac_flg,sac_dtq
-0xe5,sac_pdq,予約,sac_mtx,sac_mbf
-0xe9,sac_mpf,sac_cyc,sac_alm,sac_isr
-0xed,sac_spn,予約,予約,予約
-0xf1,def_tex,def_ovr,def_inh,def_exc
-0xf5,def_svc,予約,予約,予約
-0xf9,予約,予約,予約,予約
-0xfd,予約,予約,予約,予約
-0x101,mact_tsk,imact_tsk,mig_tsk,予約
-0x105,msta_cyc,予約,msta_alm,imsta_alm
-0x109,mrot_rdq,imrot_rdq,get_pid,iget_pid
-0x10d,予約,予約,予約,予約
-0x111,loc_spn,iloc_spn,try_spn,itry_spn
-0x115,unl_spn,iunl_spn,予約,予約
-0x119,予約,予約,予約,予約
-0x11d,予約,予約,予約,予約
